AMP,QK,YIGSR,BMP2,cellrate,LW,ALP,Survial rate
0.77,0.0,0.0,0.0,3.504438920799999,3.723979457479999,5738.921033330003,38.54318898899996
1.46,0.0,0.0,0.0,3.3101759235099992,3.717898980029999,5703.050699970005,13.325586635339985
0.37,0.0,0.0,0.0,3.079109293980003,3.4242109649500008,5949.896000009998,57.31362494789995
0.06,0.0,0.0,0.0,2.2853372649650017,3.5621923275283343,5793.987733410007,57.31362494789995
2.23,0.0,0.0,0.0,2.949101884440002,3.61024255002,5775.837799920005,8.054604878780008
0.76,0.0,0.0,0.0,3.504438920799999,3.723979457479999,5738.921033330003,38.54318898899996
1.22,0.0,0.0,0.0,4.281081194629996,3.723979457479999,5697.344499950003,15.565722554499985
2.19,0.0,0.0,0.0,2.949101884440002,3.61024255002,5775.837799920005,8.054604878780008
1.53,0.0,0.0,0.0,3.031844268939999,3.717898980029999,5703.050699970005,13.078412733859984
2.59,0.0,0.0,0.0,2.949101884440002,3.61024255002,5775.837799920005,8.054604878780008
2.7,0.0,0.0,0.0,2.949101884440002,3.61024255002,5775.837799920005,8.054604878780008
2.44,0.0,0.0,0.0,2.949101884440002,3.61024255002,5775.837799920005,8.054604878780008
2.59,0.0,0.0,0.0,2.949101884440002,3.61024255002,5775.837799920005,8.054604878780008
2.83,0.0,0.0,0.0,2.949101884440002,3.61024255002,5775.837799920005,8.054604878780008
0.1,0.0,0.0,0.0,2.2853372649650017,3.5621923275283343,5793.987733410007,57.31362494789995
0.85,0.0,0.0,0.0,2.89139568397,3.723979457479999,5707.384966600004,25.817565654900005
1.5,0.0,0.0,0.0,3.320945902419999,3.717898980029999,5703.050699970005,13.231505411859985
1.56,0.0,0.0,0.0,3.0268447512999983,3.717898980029999,5703.050699970005,13.078412733859984
0.8,0.0,0.0,0.0,3.172432267200002,3.723979457479999,5708.038766600003,33.7247063325
1.33,0.0,0.0,0.0,4.244459579239996,3.735448143419999,5698.516866620003,15.447928923699989
2.32,0.0,0.0,0.0,2.949101884440002,3.61024255002,5775.837799920005,8.054604878780008
0.9,0.0,0.0,0.0,2.971830575480002,3.723979457479999,5703.562199930004,33.32031298080001
1.39,0.0,0.0,0.0,3.336305597449999,3.7404224770599983,5695.155033300004,13.325586635339985
0.27,0.0,0.0,0.0,3.079109293980003,3.4242109649500008,5949.896000009998,57.31362494789995
1.13,0.0,0.0,0.0,3.3636553068099984,3.723979457479999,5697.951633280003,19.79910013694998
2.33,0.0,0.0,0.0,2.949101884440002,3.61024255002,5775.837799920005,8.054604878780008
2.78,0.0,0.0,0.0,2.949101884440002,3.61024255002,5775.837799920005,8.054604878780008
2.26,0.0,0.0,0.0,2.949101884440002,3.61024255002,5775.837799920005,8.054604878780008
1.85,0.0,0.0,0.0,3.244874981479999,3.717898980029999,5712.905099980005,9.50001522561002
1.39,0.0,0.0,0.0,3.336305597449999,3.7404224770599983,5695.155033300004,13.325586635339985
2.31,0.0,0.0,0.0,2.949101884440002,3.61024255002,5775.837799920005,8.054604878780008
0.79,0.0,0.0,0.0,3.1811096226400015,3.723979457479999,5708.038766600003,33.7247063325
2.18,0.0,0.0,0.0,2.6064204813899994,3.638376898179999,5773.911466600004,7.977761369820009
1.03,0.0,0.0,0.0,3.0059095330399987,3.723979457479999,5697.951633280003,25.20997098579999
2.39,0.0,0.0,0.0,2.949101884440002,3.61024255002,5775.837799920005,8.054604878780008
0.89,0.0,0.0,0.0,2.88595676119,3.723979457479999,5703.562199930004,25.743781908900004
1.05,0.0,0.0,0.0,3.275182153559998,3.723979457479999,5697.951633280003,19.06574358854999
0.14,0.0,0.0,0.0,2.2853372649650017,3.5621923275283343,5793.987733410007,57.31362494789995
